latitude,longitude,zpid,City,streetaddress,zipcode,hometype,bathrooms,bedrooms,livingarea,yearbuilt,lotsize,listingstatus,pricevalue,pricepersquirefoot,zestimate,rentzestimate
37.29537,-121.8934,19687762,San Jose,2820 Cardinal Ln,95125,singleFamily,4.0,5.0,2948.0,2025.0,10266.0,forSale,3098000,1051.0,,6874.0
37.2434,-121.78771,334416700,San Jose,6816 Vector Ct,95119,townhome,3.0,3.0,1822.0,2020.0,,forSale,1099000,603.0,1090000.0,4610.0
37.31937,-121.8431,19717351,San Jose,1045 Summershore Ct,95122,condo,3.0,2.0,1094.0,1992.0,,forSale,624888,571.0,618800.0,3222.0
37.29277,-121.85173,243211799,San Jose,2726 Terni Ct #6,95111,townhome,3.0,2.0,1303.0,2016.0,,forSale,865000,664.0,853200.0,3450.0
37.294186,-121.781006,19812567,San Jose,2166 Shadow Ridge Way,95138,singleFamily,4.0,5.0,3500.0,1996.0,0.606,forSale,4299000,1228.0,4157100.0,7254.0
37.28918,-121.763565,19799699,San Jose,2064 Folle Blanche Dr,95135,condo,2.0,3.0,1746.0,1998.0,,forSale,1100000,630.0,1088100.0,3449.0
37.392746,-121.865814,122247371,San Jose,2423 Stearman Ln Unit 2,95132,townhome,3.0,3.0,1584.0,2013.0,,forSale,1098000,693.0,,
37.384754,-121.85973,19573791,San Jose,1062 Rymar Pl,95133,townhome,3.0,2.0,1042.0,1987.0,,forSale,845888,812.0,835200.0,2904.0
37.206158,-121.87584,19766285,San Jose,6834 Rockview Ct,95120,singleFamily,3.0,4.0,2792.0,1976.0,0.6290174471992653,forSale,2680000,960.0,2616500.0,7278.0
37.30193,-121.89488,19681115,San Jose,1538 Lincoln Ave,95125,singleFamily,4.0,4.0,2972.0,1925.0,7320.0,forSale,3100000,1043.0,3033300.0,6538.0
37.307003,-122.010826,19645692,San Jose,6112 Brigantine Dr,95129,townhome,2.0,3.0,1368.0,1972.0,1920.0,forSale,1588800,1161.0,,
37.28546,-121.73938,19800451,San Jose,8845 Wine Valley Cir,95135,singleFamily,2.0,3.0,2096.0,1997.0,5200.0,forSale,1498888,715.0,1482400.0,4633.0
37.273056,-121.86593,19703350,San Jose,809 Midvale Ln,95136,singleFamily,3.0,5.0,2112.0,1965.0,6834.0,forSale,1699000,804.0,1676700.0,5182.0
37.367363,-121.86404,250559051,San Jose,1965 Mahuron Cir,95133,condo,2.0,3.0,1400.0,2017.0,,forSale,979000,699.0,973700.0,3876.0
37.321068,-121.83561,19716574,San Jose,1371 Sunnycrest Cir,95122,singleFamily,2.0,4.0,1350.0,1979.0,5248.98,forSale,1199000,888.0,1177300.0,4161.0
37.321514,-121.912506,59683073,San Jose,362 Meridian Ave,95126,townhome,3.0,3.0,1512.0,2001.0,827.64,forSale,1099000,727.0,1093900.0,3799.0
37.333443,-121.934654,19583047,San Jose,1915 Bel Air Ave,95126,singleFamily,2.0,3.0,1993.0,1948.0,7440.0,forSale,1998888,1003.0,1964600.0,6018.0
37.338776,-121.861176,454639248,San Jose,555 McLaughlin Ave Space 42,95116,manufactured,1.0,1.0,480.0,1973.0,,forSale,99900,208.0,,
37.321674,-121.98677,19602207,San Jose,4802 Rio Vista Ave,95129,singleFamily,3.0,4.0,2361.0,1980.0,4400.0,forSale,2775000,1175.0,2730000.0,6129.0
37.296936,-121.88164,112099813,San Jose,2051 Delbarr Ct,95125,condo,3.0,3.0,1330.0,1986.0,,forSale,1049000,789.0,1036400.0,3602.0
37.296894,-121.92435,19591938,San Jose,1933 Huxley Ct,95125,townhome,3.0,2.0,1622.0,1981.0,,forSale,1225000,755.0,1202100.0,4605.0
37.376884,-121.82458,460404985,San Jose,"Plan B Plan, The Kirk",95127,singleFamily,3.0,4.0,1481.0,2026.0,,forSale,1080000,729.0,1072800.0,4253.0
37.322147,-121.92191,19585538,San Jose,371 Menker Ave,95128,singleFamily,4.0,5.0,2172.0,1955.0,6741.0,forSale,1499888,691.0,,
37.296997,-121.870155,69303089,San Jose,2382 Winepol Loop,95125,townhome,3.0,3.0,1480.0,2005.0,1028.0,forSale,998000,674.0,988100.0,4112.0
37.29804,-121.75549,19798741,San Jose,5286 Cribari Hts,95135,condo,2.0,2.0,1223.0,1971.0,,forSale,474888,388.0,475700.0,3044.0
37.33737,-121.89564,2061813136,San Jose,188 W Saint James St #11101,95110,condo,2.0,2.0,1322.0,2022.0,,forSale,999000,756.0,984900.0,4973.0
37.318867,-121.98613,19603230,San Jose,4774 Rio Rita Way,95129,singleFamily,2.0,2.0,1350.0,1981.0,3948.0,forSale,1599000,1184.0,1586100.0,3700.0
37.405434,-121.86453,19769723,San Jose,2990 Knights Bridge Rd,95132,singleFamily,2.0,4.0,1480.0,1972.0,6300.0,forSale,1880000,1270.0,1868800.0,4395.0
